"","Hot_To_Go_Cups","Freq","Year","Percentage"
"1","A couple times a month",5640,2018,28.7139802464108
"2","A couple times a week",5228,2018,26.616434171673
"3","A couple times a year or less",2372,2018,12.0761633234905
"4","Every day or almost every day",3192,2018,16.2508909479686
"5","Every few months",2139,2018,10.8899297423888
"6","Never",1071,2018,5.45260156806842
"7","A couple times a month",251,2019,25.1
"8","A couple times a week",318,2019,31.8
"9","A couple times a year or less",164,2019,16.4
"10","Every day or almost every day",161,2019,16.1
"11","Never",106,2019,10.6
