"","single_use_utensil_bylaw_opinion","age","gender","education","household_income","location"
"2","Strongly support","Male","35","University graduate degree","$95,000-$99,999","TORONTO"
"3","Somewhat support","Female","30","University graduate degree","$95,000-$99,999","SCARBOROUGH"
"4","Strongly support","Female","31","University undergraduate degree","$60,000-$64,999","TORONTO"
"5","Somewhat support","Male","73","University undergraduate degree","$85,000-$89,999","TORONTO"
"6","Neither support nor oppose","Male","31","University undergraduate degree","$90,000-$94,999","TORONTO"
"7","Neither support nor oppose","Male","36","Graduated from college / CEGEP / Trade School","$70,000-$74,999","SCARBOROUGH"
"8","Somewhat oppose","Female","34","Graduated from college / CEGEP / Trade School","$25,000-$29,999","ETOBICOKE"
"9","Somewhat support","Male","53","Graduated from college / CEGEP / Trade School","Prefer not to answer","TORONTO"
"10","Strongly support","Male","51","University undergraduate degree","$80,000-$84,999","SCARBOROUGH"
"11","Somewhat support","Male","26","University graduate degree","$30,000-$34,999","EAST YORK"
"12","Neither support nor oppose","Male","54","Some college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"13","Strongly support","Female","30","Graduated from college / CEGEP / Trade School","$35,000-$39,999","TORONTO"
"14","Neither support nor oppose","Male","83","University undergraduate degree","$100,000-$124,999","NORTH YORK"
"15","Somewhat support","Male","29","University graduate degree","$100,000-$124,999","TORONTO"
"16","Strongly support","Male","60","Some university, but did not finish","$100,000-$124,999","EAST YORK"
"17","Strongly support","Male","29","University undergraduate degree","$65,000-$69,999","TORONTO"
"18","Somewhat support","Female","26","University undergraduate degree","$100,000-$124,999","SCARBOROUGH"
"19","Somewhat support","Female","84","Graduated from college / CEGEP / Trade School","$20,000-$24,999","NORTH YORK"
"20","Neither support nor oppose","Female","31","University undergraduate degree","Prefer not to answer","NORTH YORK"
"21","Strongly support","Female","73","University undergraduate degree","Prefer not to answer","EAST YORK"
"22","Somewhat support","Male","67","University graduate degree","$60,000-$64,999","TORONTO"
"23","Somewhat support","Female","36","Graduated from college / CEGEP / Trade School","Prefer not to answer","NORTH YORK"
"24","Somewhat support","Female","49","University undergraduate degree","Prefer not to answer","ETOBICOKE"
"25","Strongly support","Female","61","University graduate degree","Prefer not to answer","SCARBOROUGH"
"26","Strongly support","Male","34","University undergraduate degree","$75,000-$79,999","NORTH YORK"
"27","Neither support nor oppose","Male","74","University graduate degree","$100,000-$124,999","YORK"
