"","Hot To-Go Cups","Cold To-Go Cups","Plastic Bags","Paper Bags","Black Plastic Containers","Other Colour Plastic Containers","Disposable Cutlery","Plastic Straws","Styrofoam Containers"
"2","Every day or almost every day","A couple times a week","A couple times a week","A couple times a week","Every day or almost every day","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a week"
"3","Every day or almost every day","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a month","Never"
"4","A couple times a week","A couple times a month","Every day or almost every day","Never","A couple times a month","Every day or almost every day","A couple times a month","A couple times a month","A couple times a year or less"
"5","A couple times a year or less","Never","A couple times a month","A couple times a week","A couple times a year or less","A couple times a week","Never","Never","A couple times a year or less"
"6","A couple times a week","A couple times a week","Every day or almost every day","Every day or almost every day","A couple times a month","A couple times a month","A couple times a month","A couple times a month","A couple times a year or less"
"7","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a year or less"
"8","A couple times a month","A couple times a month","A couple times a week","Never","A couple times a year or less","Never","Never","Never","Never"
"9","Never","Never","A couple times a month","Never","A couple times a week","A couple times a week","A couple times a year or less","A couple times a week","A couple times a year or less"
"10","Every day or almost every day","A couple times a week","A couple times a week","A couple times a month","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month"
"11","A couple times a week","A couple times a month","Every day or almost every day","Every day or almost every day","A couple times a week","A couple times a month","A couple times a year or less","A couple times a week","A couple times a month"
"12","Never","Never","A couple times a year or less","A couple times a year or less","Never","A couple times a year or less","Never","Never","A couple times a year or less"
"13","A couple times a week","A couple times a week","A couple times a week","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less"
"14","A couple times a year or less","A couple times a year or less","Never","A couple times a month","A couple times a month","Every day or almost every day","Never","Never","A couple times a month"
"15","A couple times a week","A couple times a week","Every day or almost every day","A couple times a year or less","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a month","Never"
"16","A couple times a month","Never","A couple times a year or less","Never","A couple times a year or less","A couple times a year or less","Never","Never","Never"
"17","A couple times a month","A couple times a month","A couple times a year or less","A couple times a week","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a year or less"
"18","A couple times a week","Never","A couple times a month","A couple times a month","A couple times a month","A couple times a week","A couple times a month","A couple times a month","A couple times a week"
"19","A couple times a month","Never","A couple times a week","A couple times a year or less","A couple times a month","A couple times a month","A couple times a year or less","A couple times a month","A couple times a month"
"20","A couple times a year or less","A couple times a year or less","A couple times a month","Never","A couple times a year or less","A couple times a year or less","A couple times a year or less","A couple times a month","A couple times a year or less"
"21","A couple times a month","A couple times a year or less","A couple times a month","A couple times a week","A couple times a month","A couple times a week","A couple times a year or less","Never","A couple times a week"
